Country_Name;Country_Code;Year;AG_LND_FRST_ZS;CC_PER_RNK;EG_CFT_ACCS_ZS;EG_ELC_ACCS_ZS;EG_USE_ELEC_KH_PC;EN_GHG_CO2_PC_CE_AR5;FP_CPI_TOTL_ZG;HD_HCI_OVRL;IQ_CPA_ENVR_XQ;NY_GDP_MKTP_CD;NY_GDP_MKTP_KD_ZG;NY_GDP_PCAP_PP_CD;SI_DST_05TH_20;SI_DST_FRST_20;SI_POV_GINI;SI_POV_NAHC;SL_UEM_TOTL_ZS;SP_DYN_IMRT_IN;SP_DYN_LE00_FE_IN;SP_DYN_LE00_IN;SP_DYN_LE00_MA_IN;SP_URB_TOTL_IN_ZS;Mineral;Unidad;Valor;Tipo
Afghanistan;AFG;2016;1,85278199408184;3,80952382087708;28,8;97,7;;0,216929891611134;4,38389195513915;;2,5;18116572395,0772;2,26031420279821;2213,1814410479;;;;54,5;10,133;62,3;64,64;62,646;60,661;25,02;Chromium;(t);2000;Iron & Ferro-Alloy Metals
Afghanistan;AFG;2016;1,85278199408184;3,80952382087708;28,8;97,7;;0,216929891611134;4,38389195513915;;2,5;18116572395,0772;2,26031420279821;2213,1814410479;;;;54,5;10,133;62,3;64,64;62,646;60,661;25,02;Fluorspar;(t);7624;Industrial Minerals
Afghanistan;AFG;2016;1,85278199408184;3,80952382087708;28,8;97,7;;0,216929891611134;4,38389195513915;;2,5;18116572395,0772;2,26031420279821;2213,1814410479;;;;54,5;10,133;62,3;64,64;62,646;60,661;25,02;Gypsum;(t);57000;Industrial Minerals
Afghanistan;AFG;2016;1,85278199408184;3,80952382087708;28,8;97,7;;0,216929891611134;4,38389195513915;;2,5;18116572395,0772;2,26031420279821;2213,1814410479;;;;54,5;10,133;62,3;64,64;62,646;60,661;25,02;Salt;(t);56928;Industrial Minerals
Afghanistan;AFG;2016;1,85278199408184;3,80952382087708;28,8;97,7;;0,216929891611134;4,38389195513915;;2,5;18116572395,0772;2,26031420279821;2213,1814410479;;;;54,5;10,133;62,3;64,64;62,646;60,661;25,02;Steam Coal;(t);1698200;Mineral Fuels
Afghanistan;AFG;2016;1,85278199408184;3,80952382087708;28,8;97,7;;0,216929891611134;4,38389195513915;;2,5;18116572395,0772;2,26031420279821;2213,1814410479;;;;54,5;10,133;62,3;64,64;62,646;60,661;25,02;Nat, Gas;(Mio m3);165;Mineral Fuels
Afghanistan;AFG;2017;1,85278199408184;3,80952382087708;30,3;97,7;;0,226011227289355;4,97595150553833;0,389;2,5;18753456497,8159;2,6470032027451;2335,79586234454;;;;;11,184;60,4;65,606;62,406;59,388;25,25;Chromium;(t);2000;Iron & Ferro-Alloy Metals
Afghanistan;AFG;2017;1,85278199408184;3,80952382087708;30,3;97,7;;0,226011227289355;4,97595150553833;0,389;2,5;18753456497,8159;2,6470032027451;2335,79586234454;;;;;11,184;60,4;65,606;62,406;59,388;25,25;Fluorspar;(t);7522;Industrial Minerals
Afghanistan;AFG;2017;1,85278199408184;3,80952382087708;30,3;97,7;;0,226011227289355;4,97595150553833;0,389;2,5;18753456497,8159;2,6470032027451;2335,79586234454;;;;;11,184;60,4;65,606;62,406;59,388;25,25;Gypsum;(t);40000;Industrial Minerals
Afghanistan;AFG;2017;1,85278199408184;3,80952382087708;30,3;97,7;;0,226011227289355;4,97595150553833;0,389;2,5;18753456497,8159;2,6470032027451;2335,79586234454;;;;;11,184;60,4;65,606;62,406;59,388;25,25;Salt;(t);75579;Industrial Minerals
Afghanistan;AFG;2017;1,85278199408184;3,80952382087708;30,3;97,7;;0,226011227289355;4,97595150553833;0,389;2,5;18753456497,8159;2,6470032027451;2335,79586234454;;;;;11,184;60,4;65,606;62,406;59,388;25,25;Steam Coal;(t);2191400;Mineral Fuels
Afghanistan;AFG;2017;1,85278199408184;3,80952382087708;30,3;97,7;;0,226011227289355;4,97595150553833;0,389;2,5;18753456497,8159;2,6470032027451;2335,79586234454;;;;;11,184;60,4;65,606;62,406;59,388;25,25;Nat, Gas;(Mio m3);156;Mineral Fuels
Afghanistan;AFG;2018;1,85278199408184;4,7619047164917;31,4;93,4;;0,215877625146902;0,626149149168847;0,393489241600037;2,5;18053222687,4126;1,18922812944517;2432,27670083336;;;;;11,196;58,6;65,942;62,443;59,175;25,495;Chromium;(t);2000;Iron & Ferro-Alloy Metals
Afghanistan;AFG;2018;1,85278199408184;4,7619047164917;31,4;93,4;;0,215877625146902;0,626149149168847;0,393489241600037;2,5;18053222687,4126;1,18922812944517;2432,27670083336;;;;;11,196;58,6;65,942;62,443;59,175;25,495;Fluorspar;(t);10000;Industrial Minerals
Afghanistan;AFG;2018;1,85278199408184;4,7619047164917;31,4;93,4;;0,215877625146902;0,626149149168847;0,393489241600037;2,5;18053222687,4126;1,18922812944517;2432,27670083336;;;;;11,196;58,6;65,942;62,443;59,175;25,495;Gypsum;(t);36161;Industrial Minerals
Afghanistan;AFG;2018;1,85278199408184;4,7619047164917;31,4;93,4;;0,215877625146902;0,626149149168847;0,393489241600037;2,5;18053222687,4126;1,18922812944517;2432,27670083336;;;;;11,196;58,6;65,942;62,443;59,175;25,495;Salt;(t);47944;Industrial Minerals
Afghanistan;AFG;2018;1,85278199408184;4,7619047164917;31,4;93,4;;0,215877625146902;0,626149149168847;0,393489241600037;2,5;18053222687,4126;1,18922812944517;2432,27670083336;;;;;11,196;58,6;65,942;62,443;59,175;25,495;Steam Coal;(t);2444600;Mineral Fuels
Afghanistan;AFG;2018;1,85278199408184;4,7619047164917;31,4;93,4;;0,215877625146902;0,626149149168847;0,393489241600037;2,5;18053222687,4126;1,18922812944517;2432,27670083336;;;;;11,196;58,6;65,942;62,443;59,175;25,495;Nat, Gas;(Mio m3);153;Mineral Fuels
Afghanistan;AFG;2019;1,85278199408184;5,7142858505249;32,6;97,7;;0,191490829184533;2,30237251516834;;2,5;18799444490,1128;3,91160341625552;2583,48533239877;;;;;11,185;56,9;66,144;62,941;59,91;25,754;Chromium;(t);2000;Iron & Ferro-Alloy Metals
Afghanistan;AFG;2019;1,85278199408184;5,7142858505249;32,6;97,7;;0,191490829184533;2,30237251516834;;2,5;18799444490,1128;3,91160341625552;2583,48533239877;;;;;11,185;56,9;66,144;62,941;59,91;25,754;Fluorspar;(t);50000;Industrial Minerals
Afghanistan;AFG;2019;1,85278199408184;5,7142858505249;32,6;97,7;;0,191490829184533;2,30237251516834;;2,5;18799444490,1128;3,91160341625552;2583,48533239877;;;;;11,185;56,9;66,144;62,941;59,91;25,754;Gypsum;(t);24371;Industrial Minerals
Afghanistan;AFG;2019;1,85278199408184;5,7142858505249;32,6;97,7;;0,191490829184533;2,30237251516834;;2,5;18799444490,1128;3,91160341625552;2583,48533239877;;;;;11,185;56,9;66,144;62,941;59,91;25,754;Salt;(t);114245;Industrial Minerals
Afghanistan;AFG;2019;1,85278199408184;5,7142858505249;32,6;97,7;;0,191490829184533;2,30237251516834;;2,5;18799444490,1128;3,91160341625552;2583,48533239877;;;;;11,185;56,9;66,144;62,941;59,91;25,754;Steam Coal;(t);2139200;Mineral Fuels
Afghanistan;AFG;2019;1,85278199408184;5,7142858505249;32,6;97,7;;0,191490829184533;2,30237251516834;;2,5;18799444490,1128;3,91160341625552;2583,48533239877;;;;;11,185;56,9;66,144;62,941;59,91;25,754;Nat, Gas;(Mio m3);129;Mineral Fuels
Afghanistan;AFG;2019;1,85278199408184;5,7142858505249;32,6;97,7;;0,191490829184533;2,30237251516834;;2,5;18799444490,1128;3,91160341625552;2583,48533239877;;;;;11,185;56,9;66,144;62,941;59,91;25,754;Gypsum;(t);24682;Industrial Minerals
Afghanistan;AFG;2019;1,85278199408184;5,7142858505249;32,6;97,7;;0,191490829184533;2,30237251516834;;2,5;18799444490,1128;3,91160341625552;2583,48533239877;;;;;11,185;56,9;66,144;62,941;59,91;25,754;Salt;(t);41157;Industrial Minerals
Afghanistan;AFG;2019;1,85278199408184;5,7142858505249;32,6;97,7;;0,191490829184533;2,30237251516834;;2,5;18799444490,1128;3,91160341625552;2583,48533239877;;;;;11,185;56,9;66,144;62,941;59,91;25,754;Talc;(t);345052;Industrial Minerals
Afghanistan;AFG;2019;1,85278199408184;5,7142858505249;32,6;97,7;;0,191490829184533;2,30237251516834;;2,5;18799444490,1128;3,91160341625552;2583,48533239877;;;;;11,185;56,9;66,144;62,941;59,91;25,754;Steam Coal;(t);1604700;Mineral Fuels
Afghanistan;AFG;2019;1,85278199408184;5,7142858505249;32,6;97,7;;0,191490829184533;2,30237251516834;;2,5;18799444490,1128;3,91160341625552;2583,48533239877;;;;;11,185;56,9;66,144;62,941;59,91;25,754;Nat, Gas;(Mio m3);146;Mineral Fuels
Afghanistan;AFG;2020;1,85278199408184;4,7619047164917;33,8;97,7;;0,18055501271226;5,60188791482224;0,400284141302109;2,5;19955929052,1496;-2,35110067203466;2561,98176058622;;;;;11,71;55,3;64,656;61,454;58,455;26,026;Chromium;(t);2000;Iron & Ferro-Alloy Metals
Afghanistan;AFG;2020;1,85278199408184;4,7619047164917;33,8;97,7;;0,18055501271226;5,60188791482224;0,400284141302109;2,5;19955929052,1496;-2,35110067203466;2561,98176058622;;;;;11,71;55,3;64,656;61,454;58,455;26,026;Fluorspar;(t);10000;Industrial Minerals
Afghanistan;AFG;2020;1,85278199408184;4,7619047164917;33,8;97,7;;0,18055501271226;5,60188791482224;0,400284141302109;2,5;19955929052,1496;-2,35110067203466;2561,98176058622;;;;;11,71;55,3;64,656;61,454;58,455;26,026;Gypsum;(t);15049;Industrial Minerals
Afghanistan;AFG;2020;1,85278199408184;4,7619047164917;33,8;97,7;;0,18055501271226;5,60188791482224;0,400284141302109;2,5;19955929052,1496;-2,35110067203466;2561,98176058622;;;;;11,71;55,3;64,656;61,454;58,455;26,026;Salt;(t);10627;Industrial Minerals
Afghanistan;AFG;2020;1,85278199408184;4,7619047164917;33,8;97,7;;0,18055501271226;5,60188791482224;0,400284141302109;2,5;19955929052,1496;-2,35110067203466;2561,98176058622;;;;;11,71;55,3;64,656;61,454;58,455;26,026;Steam Coal;(t);56620;Mineral Fuels
Afghanistan;AFG;2020;1,85278199408184;4,7619047164917;33,8;97,7;;0,18055501271226;5,60188791482224;0,400284141302109;2,5;19955929052,1496;-2,35110067203466;2561,98176058622;;;;;11,71;55,3;64,656;61,454;58,455;26,026;Nat, Gas;(Mio m3);80;Mineral Fuels
Afghanistan;AFG;2020;1,85278199408184;4,7619047164917;33,8;97,7;;0,18055501271226;5,60188791482224;0,400284141302109;2,5;19955929052,1496;-2,35110067203466;2561,98176058622;;;;;11,71;55,3;64,656;61,454;58,455;26,026;Gypsum;(t);21779;Industrial Minerals
Afghanistan;AFG;2020;1,85278199408184;4,7619047164917;33,8;97,7;;0,18055501271226;5,60188791482224;0,400284141302109;2,5;19955929052,1496;-2,35110067203466;2561,98176058622;;;;;11,71;55,3;64,656;61,454;58,455;26,026;Salt;(t);12015;Industrial Minerals
Afghanistan;AFG;2020;1,85278199408184;4,7619047164917;33,8;97,7;;0,18055501271226;5,60188791482224;0,400284141302109;2,5;19955929052,1496;-2,35110067203466;2561,98176058622;;;;;11,71;55,3;64,656;61,454;58,455;26,026;Talc;(t);95923;Industrial Minerals
Afghanistan;AFG;2020;1,85278199408184;4,7619047164917;33,8;97,7;;0,18055501271226;5,60188791482224;0,400284141302109;2,5;19955929052,1496;-2,35110067203466;2561,98176058622;;;;;11,71;55,3;64,656;61,454;58,455;26,026;Nat, Gas;(Mio m3);59;Mineral Fuels
Afghanistan;AFG;2021;1,85278199408184;12,380952835083;34,9;97,7;;0,198267957840034;5,13320340824963;;;14259995441,0759;-20,7388393676343;2144,16657002819;;;;;11,994;53,6;64,079;60,417;57,052;26,314;Chromium;(t);5300;Iron & Ferro-Alloy Metals
Afghanistan;AFG;2021;1,85278199408184;12,380952835083;34,9;97,7;;0,198267957840034;5,13320340824963;;;14259995441,0759;-20,7388393676343;2144,16657002819;;;;;11,994;53,6;64,079;60,417;57,052;26,314;Fluorspar;(t);10000;Industrial Minerals
Afghanistan;AFG;2021;1,85278199408184;12,380952835083;34,9;97,7;;0,198267957840034;5,13320340824963;;;14259995441,0759;-20,7388393676343;2144,16657002819;;;;;11,994;53,6;64,079;60,417;57,052;26,314;Gypsum;(t);16349;Industrial Minerals
Afghanistan;AFG;2021;1,85278199408184;12,380952835083;34,9;97,7;;0,198267957840034;5,13320340824963;;;14259995441,0759;-20,7388393676343;2144,16657002819;;;;;11,994;53,6;64,079;60,417;57,052;26,314;Salt;(t);10700;Industrial Minerals
Afghanistan;AFG;2021;1,85278199408184;12,380952835083;34,9;97,7;;0,198267957840034;5,13320340824963;;;14259995441,0759;-20,7388393676343;2144,16657002819;;;;;11,994;53,6;64,079;60,417;57,052;26,314;Talc;(t);441372;Industrial Minerals
